zoning date,Zone Cost
2020-07-06 00:00:00,595.0
2020-07-16 00:00:00,595.0
2020-07-20 00:00:00,595.0
2020-08-01 00:00:00,595.0
2020-08-14 00:00:00,595.0
2020-08-15 00:00:00,595.0
2020-09-01 00:00:00,595.0
2020-09-09 00:00:00,595.0
2020-09-15 00:00:00,595.0
2020-10-01 00:00:00,595.0
2020-10-06 00:00:00,595.0
2020-10-15 00:00:00,595.0
2020-10-23 00:00:00,595.0
2020-11-09 00:00:00,595.0
2020-11-18 00:00:00,595.0
2020-11-19 00:00:00,595.0
2020-12-08 00:00:00,595.0
2020-12-16 00:00:00,595.0
2021-01-12 00:00:00,595.0
2021-01-18 00:00:00,595.0
2021-01-25 00:00:00,595.0
2021-02-08 00:00:00,595.0
2021-02-12 00:00:00,595.0
2021-02-25 00:00:00,595.0
2021-03-15 00:00:00,595.0
2021-03-16 00:00:00,595.0
2021-03-31 00:00:00,595.0
2021-04-08 00:00:00,595.0
2021-04-15 00:00:00,595.0
2021-04-19 00:00:00,595.0
2021-05-01 00:00:00,595.0
2021-05-14 00:00:00,595.0
2021-05-18 00:00:00,595.0
2021-06-04 00:00:00,595.0
2021-06-07 00:00:00,595.0
2021-06-14 00:00:00,595.0
2021-07-01 00:00:00,595.0
2021-07-06 00:00:00,595.0
2021-08-03 00:00:00,595.0
2021-08-05 00:00:00,595.0
2021-08-17 00:00:00,620.0
2021-08-30 00:00:00,620.0
2021-09-07 00:00:00,620.0
2021-09-23 00:00:00,620.0
2021-09-27 00:00:00,620.0
2021-10-04 00:00:00,620.0
2021-10-25 00:00:00,620.0
2021-10-27 00:00:00,620.0
2021-11-16 00:00:00,620.0
2021-11-22 00:00:00,620.0
2021-11-23 00:00:00,620.0
2021-12-09 00:00:00,620.0
2021-12-14 00:00:00,620.0
2022-01-04 00:00:00,620.0
2022-01-06 00:00:00,620.0
2022-01-17 00:00:00,620.0
2022-02-07 00:00:00,620.0
2022-02-09 00:00:00,620.0
2022-02-18 00:00:00,620.0
2022-03-14 00:00:00,620.0
2022-03-16 00:00:00,620.0
2022-04-04 00:00:00,620.0
2022-04-11 00:00:00,620.0
2022-04-13 00:00:00,620.0
2022-04-19 00:00:00,620.0
2022-05-10 00:00:00,620.0
2022-05-17 00:00:00,620.0
2022-05-23 00:00:00,620.0
2022-06-14 00:00:00,620.0
1996-10-18 00:00:00,515.0
1997-02-03 00:00:00,550.0
1997-03-21 00:00:00,515.0
2004-11-08 00:00:00,292.5
2005-12-02 00:00:00,634.0
2000-10-13 00:00:00,225.0
1998-06-26 00:00:00,450.0
1999-03-05 00:00:00,300.0
1999-04-26 00:00:00,300.0
